open;high;low;close;Volume;Volume MA;manipulated
4700;4700;4580;4600;15576400;12083646;0
4520;4600;4480;4490;18797400;12559327.5;0
4500;4530;4380;4390;22116400;13069294;0
4380;4550;4380;4430;13101500;13310592;0
4480;4550;4430;4440;12386000;13530883.5;0
4510;4750;4470;4750;31098200;14737935.5;0
4990;5050;4830;5020;21627800;15488862;0
5020;5230;4910;4910;26281100;16017379.5;0
4900;5010;4780;4930;20222600;16636425;0
5000;5180;4950;5180;24099200;17462671;0
5500;5540;5450;5540;22645300;18031849;0
5700;5700;5160;5280;36892700;19361720;0
5400;5400;4920;5130;30895700;19608170.5;0
5290;5480;5170;5480;22267300;19905976.5;0
5630;5860;5560;5860;57389700;22326178;0
5950;6270;5910;6270;33416800;23472715;0
6300;6700;6000;6700;34691700;24618669.5;0
6690;7160;6400;7150;45589500;26313497;0
6650;7000;6650;6650;28417700;26608338.5;0
6190;6400;6190;6190;55629400;28657120;0
6100;6570;5760;5760;29993600;29377980;0
5760;6160;5400;6160;26862300;29781225;0
6390;6450;6200;6200;18653300;29608070;0
6160;6450;6030;6100;10679400;29486965;0
6130;6520;6040;6520;30333600;30384345;0
6650;6840;6080;6100;29496000;30304235;0
6100;6390;6030;6390;10867800;29766235;0
6400;6740;6300;6700;18891700;29396765;0
6650;6710;6290;6300;30338300;29902550;0
6250;6400;6080;6080;13325300;29363855;0
6150;6350;6140;6320;13097000;28886440;0
6350;6440;6100;6150;18229200;27953265;0
6250;6270;6050;6050;12131300;27015045;0
6090;6180;6050;6100;8511900;26327275;0
6000;6350;6000;6290;14510300;24183305;0
6300;6500;6220;6500;17363600;23380645;0
6500;6520;6100;6100;15788200;22435470;0
6210;6520;6150;6520;21569500;21234470;0
6630;6800;6410;6550;23654300;20996300;0
6490;6560;6190;6300;15709800;19000320;0
6480;6500;6310;6350;8243100;17912795;0
6360;6680;6350;6500;14575800;17298470;0
6500;6650;6450;6590;14028300;17067220;0
6400;6680;6350;6620;27336400;17900070;0
6900;6980;6750;6900;22284800;17497630;0
7190;7380;7150;7380;34200700;17732865;0
7690;7750;7450;7700;33384000;18858675;0
7600;7790;7170;7200;51129400;20470560;0
7250;7560;7050;7500;22217100;20064500;0
7490;8020;7390;8020;26294900;20712980;0
8300;8580;8200;8580;46086600;22362460;0
8780;9180;8600;9180;45073300;23704665;0
9100;9810;8900;9790;42615000;25228850;0
9510;10450;9360;10450;55471500;27576830;0
10450;11150;10100;11050;52547400;29478685;0
11400;11800;11200;11800;37992700;30510140;0
12500;12600;11900;12600;47856100;32113535;0
12900;13300;11750;12750;68628200;34466470;0
12400;12500;11900;12050;39375800;35252545;0
11750;12300;11400;12200;29742400;35954175;0
12600;12650;11950;12500;25924300;36838235;0
12300;12600;11700;12200;26419400;37430415;0
12100;12100;11400;11500;34153900;38436695;0
11200;11800;10700;11800;35432300;38841490;0
11850;12250;11750;12000;22375200;38846010;0
12150;12350;11400;12300;49034600;39587705;0
12400;12400;11600;11600;27199600;39278485;0
11200;12400;11150;12400;41687400;38806385;0
13250;13250;13100;13250;28961200;39143590;0
13700;14100;12900;13850;61848200;40921255;0
13500;13800;13000;13100;43020000;40767925;0
13000;13500;12250;12800;37824600;40405490;0
12500;13050;11950;12150;38103800;40179930;0
12100;12800;11800;12400;18168000;38314755;0
12400;12450;11550;11700;53070200;38340895;0
11400;11950;11050;11050;20625900;37472555;0
11000;11300;10750;11050;23296300;36244565;0
11200;11500;10650;11050;30480200;34337165;0
10500;10800;10300;10450;37416000;34239175;0
10750;11150;10600;11150;17018800;33602995;0
11750;11900;11200;11300;40175500;34315555;0
11100;11550;10700;11500;37343000;34861735;0
11500;11750;11000;11250;14653300;33886705;0
11550;12000;11250;11600;22518800;33241030;0
11500;11800;11000;11550;31083800;33676460;0
11500;11800;11450;11450;12775600;31863510;0
11450;12250;11450;12250;42061100;32606585;0
12600;13050;12300;12300;34554300;32249930;0
12300;13000;12150;12450;23922900;31998015;0
12450;13150;12300;12800;36943900;30752800;0
12800;12850;12050;12100;18741500;29538875;0
12000;12750;11950;12700;22337800;28764535;0
12800;12800;12100;12150;28488500;28283770;0
12150;12400;12000;12150;17369200;28243830;0
12250;12300;11800;11800;23950600;26787850;0
11700;12150;11350;11400;26071800;27060145;0
11450;12150;11300;12150;29380800;27364370;0
12300;12350;11750;11950;13974900;26539105;0
11850;12350;11800;12200;12329000;25284755;0
12500;13050;12400;13050;59616500;27414640;0
13800;13950;13600;13950;35217800;27166755;0
14400;14750;13550;14300;37694300;27184320;0
14000;14300;13300;13450;31796800;28041495;0
13150;14000;12650;12700;30425600;28436835;0
12750;13300;12500;12950;24532800;28109285;0
13000;13550;12750;13100;16704300;28305720;0
13200;13600;13000;13150;17270200;27066175;0
13050;13650;12700;13050;29503700;26813645;0
13100;13450;12950;13200;16038500;26419425;0
13050;13750;13050;13750;28986700;26021565;0
13500;14700;13450;14700;50669900;27617985;0
15000;15350;14350;15150;52998000;29150995;0
14850;14900;14100;14400;44898500;29971495;0
14250;14600;13650;14550;44353500;31320710;0
14550;14600;13600;13700;47347600;32490560;0
13700;14200;13700;13950;20385600;32206250;0
14000;14000;13450;13950;27412800;32107850;0
13900;14400;13650;13700;23332000;32575705;0
13800;13850;13450;13650;22681800;33093345;0
13600;13950;13300;13300;21036200;31164330;0
13300;13650;12800;13400;32162400;31011560;0
13700;13700;13050;13050;15222600;29887975;0
13050;13050;12300;12300;31216300;29858950;0
12300;13000;11900;11900;26905700;29682955;0
11950;12400;11600;11900;16867700;29299700;0
11900;12300;11750;11800;14103600;29169665;0
11600;11800;11000;11150;35015500;30056930;0
10700;10950;10400;10400;26633100;29913400;0
10050;11100;10050;11100;30169900;30619970;0
11700;11850;10800;11800;43493500;31345310;0
11500;12100;11300;11500;19021600;29762895;0
11350;11600;11050;11050;21882800;28207135;0
10500;10700;10300;10300;37360000;27830210;0
10500;11000;10150;11000;16040600;26414565;0
11200;11200;10750;10850;12398100;24667090;0
10950;11500;10600;11000;27777700;25036695;0
10900;11050;10600;10600;11729100;24252510;0
10400;10850;10400;10600;10301800;23601000;0
10700;11300;10700;10850;34662800;24200050;0
10750;11000;10750;10900;5349400;23415710;0
11000;11200;10900;11000;8508200;22233000;0
11050;11300;10950;11150;13831800;22163460;0
11200;11300;10850;10900;20387500;21622020;0
11000;11400;10800;11050;26078300;21580650;0
11150;11600;11100;11400;19436000;21709065;0
11400;11550;11200;11450;14775100;21742640;0
11450;11900;11350;11600;26259100;21304820;0
11500;11650;11400;11550;9816800;20464005;0
11600;11800;11450;11450;13637600;19637390;0
11550;11700;11400;11600;21098700;18517650;0
11600;11900;11500;11550;16411300;18387135;0
11550;11650;10950;11200;23113900;18448690;0
11250;11400;11050;11150;21657400;17663560;0
11150;11450;11100;11300;12418900;17482475;0
11300;11300;11100;11100;10194800;17372310;0
11100;11150;10950;10950;14348600;16700855;0
10950;11200;10400;10450;25635500;17396175;0
10450;10800;10400;10500;14506200;17606395;0
10500;10700;10350;10400;9140700;16330290;0
10400;10550;10150;10400;13111900;16718415;0
10450;10600;10250;10250;6828600;16634435;0
10250;10400;10100;10250;10759600;16480825;0
10350;10500;10250;10400;8292300;15876065;0
10450;10800;10350;10700;15617000;15353000;0
10600;10900;10550;10550;10259800;14894190;0
10550;11250;10550;11250;22349400;15272905;0
11400;11500;10750;10800;20685800;14994240;0
10800;10950;10600;10750;11080100;15057405;0
10750;11100;10650;11050;13975100;15074280;0
11100;11200;10800;10850;11408800;14589785;0
10900;11000;10700;10700;10923500;14315395;0
10700;10950;10650;10800;12617000;13790550;0
10800;11250;10700;10900;11141800;13264770;0
10900;11000;10750;10750;7405800;13014115;0
10800;11000;10750;10850;9588100;12983780;0
10900;11300;10850;10900;16834300;13108065;0
10800;11200;10650;11050;18334800;12743030;0
11450;11800;11350;11800;38195700;13927505;0
12550;12600;11300;11300;39975600;15469250;0
11500;11750;11300;11450;12905000;15458905;0
11500;11550;10800;10800;28232200;16529085;0
10750;10900;10500;10800;14144600;16698335;0
10800;10950;10600;10850;10099300;16788685;0
10800;10950;10700;10850;9027200;16459195;0
10750;10850;10700;10700;10713613;16481885.65;0
10800;11400;10700;11400;18677500;16298290.65;0
11550;11700;11050;11100;14653200;15996660.65;0
11200;11600;11100;11250;10401100;15962710.65;0
11250;11500;11250;11250;10842100;15806060.65;0
11450;11900;11400;11400;27095100;16590375.65;0
11450;12150;11400;12150;34733800;17780890.65;0
12200;12700;11850;12450;34905200;18895300.65;0
12350;12600;12100;12100;20912000;19383810.65;0
12100;12550;12100;12300;15502300;19788635.65;0
12400;12500;11950;12000;27141000;20666280.65;0
12100;12100;11550;11600;27265600;21187845.65;0
11700;11950;11550;11700;10230100;20782610.65;0
11700;11850;11350;11550;15142600;19629955.65;0
11700;12200;11550;12000;19156900;18589020.65;0
12100;12100;11750;11800;9319400;18409740.65;0
11900;12150;11700;11750;14294200;17712840.65;0
11700;12400;11600;12000;23687700;18189995.65;0
12100;12400;11950;12000;13100900;18340075.65;0
12000;12300;11950;12100;14106800;18594055.65;0
12150;12350;11950;12100;24343700;19275560;0
12300;12700;12250;12450;25734800;19628425;0
